"state_code","source","name","ward_code","category","subtype","management","education","poi_type","global_id","id","no_of_teachers","no_of_students","Geometry"
"ZA","OSGOF","Federal Polytechnic Kaura Namoda Kaura Namoda","80804","Tertiary","Adult Education","Public","Formal","School","4d536fff-deb2-436a-be25-71d28fac8699","u_fc_poi_school.32200",,,"POINT (6.58941 12.5953)"
"KD","OSGOF","Kaduna State University Kafanchan Campus","KD0710","Tertiary","University","Unknown","Formal","School","4daa8eb3-4c62-48e5-8e8e-0aa09e09fa67","u_fc_poi_school.32363",,,"POINT (8.2890698 9.5725972)"
"EN","GRID","University Of Nigeria Nsukka","ENSNSK11","Tertiary","University","Public","Formal","School","4dcb5286-6e20-446d-8e4d-e89f6a5e7a8e","u_fc_poi_school.32418",,,"POINT (7.41001 6.8680883)"
"LA","GRID","Ronik Polytechnic","LASOIO03","Tertiary","Standard","Private","Formal","School","4df44367-b9fc-4b78-8202-5789461531ff","u_fc_poi_school.32477",,,"POINT (3.2950703 6.5372518)"
"AB","GRID","Abia State University Umuahia Campus","ABSKWU18","Tertiary","University","Public","Formal","School","4e123707-91dd-4505-85c3-491180089010","u_fc_poi_school.32532","200","2000","POINT (7.5419024 5.4901618)"
"OG","eHA Polio","Ifo College Of Management","OGSIFO05","Tertiary","Adult Education","Public","Formal","School","4e14793f-2dd6-43dc-9e27-69412e930959","u_fc_poi_school.32538",,,"POINT (3.20283 6.7960833)"
"SO","NMIS","Islamiyya Gandu","61507","Tertiary","Adult Education","Private","Religious","School","4e4d44c6-49c2-4806-b088-f03abf9d7222","u_fc_poi_school.32640",,,"POINT (4.7325525 12.9381749)"
"BE","NMIS","Youth and Women Empowerment Education Centre","BNSJUX03","Tertiary","Adult Education","Private","Formal","School","4ee247ba-d2d1-4bb8-8898-bc6dd6f34428","u_fc_poi_school.32886",,,"POINT (8.41064 6.872689)"
"EB","GRID","College Of Education Ikwo","EBSCHR14","Tertiary","Adult Education","Public","Formal","School","4ee63d8e-1664-47cb-8dde-0b9347a7b7a2","u_fc_poi_school.32893",,,"POINT (8.1650633 6.1162083)"
"EK","GRID","Desmer International School Omisanjana Road 132kv Area","EKSADO06","Tertiary","Standard","Private","Formal","School","4efc1e18-a6b7-4658-be68-65fb3adcbe2e","u_fc_poi_school.32929",,,"POINT (5.2014667 7.6030967)"
"GO","GRID","College of Education Billiri","GMSBLR05","Tertiary","Standard","Public","Formal","School","4fe197dc-0b3f-4c33-891c-bb417b0df6f8","u_fc_poi_school.33321",,,"POINT (11.2101233 9.9121767)"
"EK","GRID","Gods Power Academic International School","EKSEFO01","Tertiary","Standard","Private","Formal","School","50562159-d21e-4ccb-aa43-8e23b90822e6","u_fc_poi_school.33500","4","50","POINT (4.932365 7.698245)"
"EB","GRID","Presco Campus","EBSEBJ14","Tertiary","Adult Education","Public","Formal","School","5076ed5b-f19b-44c2-a7ef-13dfba5a340a","u_fc_poi_school.33537",,,"POINT (8.0805917 6.32533)"
"CR","GRID","Eama School Of Health","CRSBNS07","Tertiary","Standard","Private","Formal","School","508c4e9c-c19d-4c43-afc5-10a434e48624","u_fc_poi_school.33574",,,"POINT (9.2524169 6.6631528)"
