"state_code","source","name","ward_code","category","subtype","management","education","poi_type","global_id","id","no_of_teachers","no_of_students","Geometry"
"JI","NMIS","Takalafiya Central Primary School","JI2202","Primary","Primary","Public","Religious","School","86d0877e-bce2-4175-aaa5-150d76df9b23","u_fc_poi_school.56533",,,"POINT (9.75589 12.1536298)"
"KN","NMIS","Kiyawa Islamiya","KN1311","Primary","Primary","Public","Religious","School","86f4105d-5878-4e8d-85ae-90c46b854bfe","u_fc_poi_school.56592",,,"POINT (8.828925 12.07325)"
"KN","NMIS","Sauya Islamiyya","KN4004","Primary","Primary","Public","Religious","School","87182c96-a1dc-4d92-a1af-2c560b5ccb26","u_fc_poi_school.56655",,,"POINT (8.069383 12.35297)"
"KN","NMIS","Mahad Y Ali Islamiyya","KN2709","Primary","Primary","Public","Religious","School","87246f22-c985-42b5-84ab-ce3da865ab48","u_fc_poi_school.56675",,,"POINT (8.419647 11.81736)"
"SO","NMIS","Katami Islamiyya","61507","Primary","Primary","Private","Religious","School","8747a42d-6f0b-4882-a59b-caec372577b2","u_fc_poi_school.56726",,,"POINT (4.7335268 12.9418609)"
"KN","NMIS","Government Junior Islamic Secondary School","KN3006","Secondary","Junior","Public","Religious","School","874c568f-37b3-44b0-883b-8edc2258f692","u_fc_poi_school.56736",,,"POINT (8.642658 12.23879)"
"KN","NMIS","Nurul Salbi Islamiyya School","KN2209","Primary","Primary","Public","Religious","School","87613a2f-91f1-465c-927c-e98a40175df9","u_fc_poi_school.56774",,,"POINT (8.06543 11.8067)"
"KN","NMIS","Kadirawa Islamiyya","KN1101","Primary","Primary","Public","Religious","School","87685272-07b8-4ec9-9cf3-9bbdd67d73b2","u_fc_poi_school.56789",,,"POINT (8.6676712 10.6743026)"
"SO","eHA Polio","Abdulahi Abdulahi Islamiya","60504","Primary","Primary","Faith Based","Religious","School","8777799f-2b7a-404d-9f0c-dfd787b4e1e8","u_fc_poi_school.56817",,,"POINT (5.670715 13.4412633)"
"KT","NMIS","Madarasatul Taalimuddeen Islamiyya","43401","Primary","Primary","Public","Religious","School","8783815e-ba2a-42b9-9a41-d714f7c07392","u_fc_poi_school.56843",,,"POINT (8.4564635 12.9672475)"
"KN","NMIS","Madarasatul Islamiya","KN0909","Primary","Primary","Public","Religious","School","878b6372-6671-4b60-ae46-75d14cd9d09b","u_fc_poi_school.56855",,,"POINT (8.524647 11.84563)"
"KT","OSGOF","Islamiyya School Unguwan Sarki Nom","43110","Other","Standard","Faith Based","Religious","School","878dc71f-6ab2-4592-bc01-ec064c6a3b11","u_fc_poi_school.56860",,,"POINT (7.05595 11.34221)"
"KN","NMIS","Gamoji Imam Suleman Quranic School","KN1603","Other","Other","Private","Religious","School","8792e319-6f8a-4745-9382-0daf850e8a1e","u_fc_poi_school.56869",,,"POINT (9.180256 11.84801)"
"SO","NMIS","Kofar Kanbe Islamiyya","61505","Primary","Primary","Private","Religious","School","87abb1d7-417c-4d88-9300-92dfa64434c3","u_fc_poi_school.56910",,,"POINT (4.845904 13.036915)"
"PL","OSGOF","Baptist Pastor School","PLSJJN12","Secondary","Standard","Faith Based","Religious","School","87adef58-3f50-40d8-b781-bd0ef17032f6","u_fc_poi_school.56917",,,"POINT (8.9438 9.90732)"
"KN","NMIS","Government Girls Islamic Senior Secondary School Tsamiya Kara","KN1705","Secondary","Senior","Public","Religious","School","87bc433b-7891-4774-8e70-be33389c6851","u_fc_poi_school.56947",,,"POINT (8.724802 12.03959)"
"SO","NMIS","Makarantar Mallam Yakubu Kyadawa","60406","Primary","Pre Primary","Private","Religious","School","87c68d51-70f8-4f89-b09e-0edccd38c803","u_fc_poi_school.56960",,,"POINT (5.5975932 13.7641257)"
"KN","NMIS","Hayatuddeen Kazawa","KN3011","Other","Other","Public","Religious","School","87d9f679-57c4-4e03-a284-33140f7e17dc","u_fc_poi_school.56993",,,"POINT (8.670353 12.16232)"
