,id,state_code,source,name,ward_code,category,subtype,management,education,poi_type,no_of_teachers,no_of_students,global_id,geometry
1087,u_fc_poi_school.60480,KT,NMIS,Makarantar Malam Danjuma Rimi,43008,Primary,Primary,Public,Religious,School,,,900f3547-bbb4-4a92-b74b-4b821a84b4fc,POINT (7.7121718 12.8473976)
1088,u_fc_poi_school.60536,KN,NMIS,Kaguwa Islamiyya,KN2808,Primary,Primary,Public,Religious,School,,,9035a4c7-0c22-40fc-9af0-27139c5c5166,POINT (8.346783 11.79181)
1089,u_fc_poi_school.60542,KO,NMIS,Midag College of Islamic Studies,KGSJMU01,Secondary,Senior,Public,Religious,School,,,90370aef-261f-4f5b-bf20-b5ef1e30a117,POINT (6.037145 8.030135)
1090,u_fc_poi_school.60601,KN,NMIS,Badawa Digawa Islamiyya Primary School,KN1305,Primary,Primary,Public,Religious,School,,,905b45d1-f409-4cd2-af5f-9cb56672a2f0,POINT (8.902896999999999 12.25569)
1091,u_fc_poi_school.60722,KN,NMIS,Almajiri Islamiya Primary School,KN0705,Primary,Primary,Public,Religious,School,,,90a6d32a-02fd-45bf-bb9c-7c3099f11760,POINT (8.489755000000001 12.0316)
1092,u_fc_poi_school.60796,KT,NMIS,Hizburrahim Islamiyya,43101,Tertiary,Adult Education,Public,Religious,School,,,90d1a0c5-3c65-471f-9ec4-2978b1c18c1e,POINT (7.0368129 11.413604)
1093,u_fc_poi_school.60819,JI,NMIS,Government Junior Secondary School Danzomo,JI2505,Secondary,Junior,Public,Religious,School,,,90df1d80-ce4f-42c4-af2c-2e045f4ab972,POINT (9.364894899999999 12.4540653)
1094,u_fc_poi_school.60833,KD,NMIS,Abdullahi Dalhatu Quranic School,KD0808,Secondary,Aggregate,Public,Religious,School,,,90e7c98e-26ef-4161-a30b-c79eb49940b6,POINT (7.9555607 9.869670899999999)
1095,u_fc_poi_school.60838,KN,NMIS,Surajo Primary Islamiyya Zango,KN1711,Primary,Primary,Public,Religious,School,,,90eade78-3466-4867-90f5-b0f3d2d2a14a,POINT (8.682855999999999 12.09534)
1096,u_fc_poi_school.60928,BA,NMIS,Abdulmumini Islamiyya Primary School,BA0101,Primary,Primary,Public,Religious,School,,,9120639e-4145-44ed-b56a-5fc49865928c,POINT (10.3378671 10.268916)
1097,u_fc_poi_school.60970,KN,NMIS,Kiru Quranic Model School,KN2408,Primary,Primary,Public,Religious,School,,,913ca572-2f1b-4705-84fd-57d76f146536,POINT (8.139080999999999 11.70074)
1098,u_fc_poi_school.61020,ZA,OSGOF,Madarasatul Nurul Islamiya Fallau,81402,Other,Standard,Faith Based,Religious,School,,,915810eb-e72e-4034-b934-b440ec8e2b0d,POINT (6.43035 12.7745)
1099,u_fc_poi_school.61068,KN,NMIS,Sahatul Subyan Littahfizul Quran,KN0301,Primary,Primary,Public,Religious,School,,,917071be-d555-4818-b6ee-b70f76ebefe8,POINT (8.135999999999999 12.16058)
1100,u_fc_poi_school.61112,SO,NMIS,Quranic Primary School Bargaja,60903,Primary,Primary,Public,Religious,School,,,918bedd7-5d4e-4d48-a368-ac62c9316d41,POINT (6.4390702 13.1576605)
1101,u_fc_poi_school.61135,KN,NMIS,Unguwar Jaji Islamiyya,KN2201,Primary,Primary,Public,Religious,School,,,9198d801-9588-46ed-8136-3465545ab9fb,POINT (7.984787 11.71855)
